Trial,Week,Date,Biobest,Colony,Crithidia,Size,Size_Title,Microcolony,Dead,Alive,Fraction Dead,%Dead,key,Notes,
1,1,2/14/22,3,3a,Inoculated,15,Small (15 bees),3a15,2,13,0.133333333,13.33333333,15Inoculated,,Death per week
1,1,2/14/22,3,3a,Inoculated,45,Large (45 bees),3a45,6,39,0.133333333,13.33333333,45Inoculated,,Cumulative death
1,1,2/15/22,1,1clean,Control,15,Small (15 bees),1clean15,0,15,0,0,15Control,,
1,1,2/15/22,1,1clean,Control,45,Large (45 bees),1clean45,0,45,0,0,45Control,,
1,1,2/15/22,6,6a,Inoculated,15,Small (15 bees),6a15,4,11,0.266666667,26.66666667,15Inoculated,,Excluding males
1,1,2/15/22,6,6a,Inoculated,45,Large (45 bees),6a45,6,39,0.133333333,13.33333333,45Inoculated,,
1,1,2/15/22,5,5a,Inoculated,15,Small (15 bees),5a15,2,13,0.133333333,13.33333333,15Inoculated,,
1,1,2/15/22,5,5a,Inoculated,45,Large (45 bees),5a45,8,37,0.177777778,17.77777778,45Inoculated,,
1,1,2/16/22,1,1a,Inoculated,15,Small (15 bees),1a15,0,15,0,0,15Inoculated,,
1,1,2/16/22,1,1a,Inoculated,45,Large (45 bees),1a45,6,39,0.133333333,13.33333333,45Inoculated,,
1,1,2/16/22,4,4a,Inoculated,15,Small (15 bees),4a15,2,13,0.133333333,13.33333333,15Inoculated,,
1,1,2/16/22,4,4a,Inoculated,45,Large (45 bees),4a45,20,25,0.444444444,44.44444444,45Inoculated,,
1,2,2/20/22,3,3a,Inoculated,15,Small (15 bees),3a15,2,13,0.133333333,13.33333333,15Inoculated,,
1,2,2/20/22,3,3a,Inoculated,45,Large (45 bees),3a45,10,35,0.222222222,22.22222222,45Inoculated,,
1,2,2/20/22,6,6a,Inoculated,15,Small (15 bees),6a15,5,10,0.333333333,33.33333333,15Inoculated,,
1,2,2/20/22,6,6a,Inoculated,45,Large (45 bees),6a45,15,30,0.333333333,33.33333333,45Inoculated,,
1,2,2/22/22,1,1a,Inoculated,15,Small (15 bees),1a15,1,14,0.066666667,6.666666667,15Inoculated,,
1,2,2/22/22,1,1a,Inoculated,45,Large (45 bees),1a45,11,34,0.244444444,24.44444444,45Inoculated,,
1,2,2/22/22,5,5a,Inoculated,15,Small (15 bees),5a15,6,9,0.4,40,15Inoculated,,
1,2,2/22/22,5,5a,Inoculated,45,Large (45 bees),5a45,22,23,0.488888889,48.88888889,45Inoculated,,
1,2,2/23/22,4,4a,Inoculated,15,Small (15 bees),4a15,4,11,0.266666667,26.66666667,15Inoculated,,
1,2,2/23/22,4,4a,Inoculated,45,Large (45 bees),4a45,32,13,0.711111111,71.11111111,45Inoculated,,
1,3,2/28/22,3,3a,Inoculated,15,Small (15 bees),3a15,3,12,0.2,20,15Inoculated,,
1,3,2/28/22,3,3a,Inoculated,45,Large (45 bees),3a45,14,31,0.311111111,31.11111111,45Inoculated,,
1,3,3/1/22,6,6a,Inoculated,15,Small (15 bees),6a15,5,10,0.333333333,33.33333333,15Inoculated,,
1,3,3/1/22,6,6a,Inoculated,45,Large (45 bees),6a45,19,26,0.422222222,42.22222222,45Inoculated,,
1,3,3/1/22,1,1a,Inoculated,15,Small (15 bees),1a15,2,13,0.133333333,13.33333333,15Inoculated,,
1,3,3/2/22,1,1clean,Control,15,Small (15 bees),1clean15,3,12,0.2,20,15Control,,
1,3,3/2/22,1,1clean,Control,45,Large (45 bees),1clean45,4,41,0.088888889,8.888888889,45Control,,
1,3,3/2/22,1,1a,Inoculated,45,Large (45 bees),1a45,16,29,0.355555556,35.55555556,45Inoculated,,
1,3,3/2/22,4,4a,Inoculated,15,Small (15 bees),4a15,7,8,0.466666667,46.66666667,15Inoculated,,
1,3,3/2/22,4,4a,Inoculated,45,Large (45 bees),4a45,36,9,0.8,80,45Inoculated,,
1,3,3/2/22,5,5a,Inoculated,15,Small (15 bees),5a15,10,5,0.666666667,66.66666667,15Inoculated,,
1,3,3/2/22,5,5a,Inoculated,45,Large (45 bees),5a45,33,12,0.733333333,73.33333333,45Inoculated,,
2,1,3/23/22,3,3b,Inoculated,15,Small (15 bees),3b15,2,13,0.133333333,13.33333333,15Inoculated,"2 dead, not inoc.",
2,1,3/23/22,3,3b,Inoculated,45,Large (45 bees),3b45,5,40,0.111111111,11.11111111,45Inoculated,"5 dead, yes inoc.",
2,1,3/23/22,5,5b,Inoculated,15,Small (15 bees),5b15,2,13,0.133333333,13.33333333,15Inoculated,"2 dead, not inoc.",
2,1,3/23/22,5,5b,Inoculated,45,Large (45 bees),5b45,3,42,0.066666667,6.666666667,45Inoculated,2 yes inoc.; 1 not inoc.,
2,1,3/23/22,6,6b,Inoculated,15,Small (15 bees),6b15,1,14,0.066666667,6.666666667,15Inoculated,"1 dead, inoc.",
2,1,3/23/22,6,6b,Inoculated,45,Large (45 bees),6b45,3,42,0.066666667,6.666666667,45Inoculated,"3 dead, not inoc.",
