Trial,Date,Colony,Biobest,Micro,Size,Crithidia,BeeID,Bee #,Marginal_Cell
1,2/28/22,3a,3,3a45,45,22,blue-,1,2634.27
1,2/28/22,3a,3,3a45,45,38,blue-blue,2,2930.79
1,2/28/22,3a,3,3a45,45,0,blue-orange,3,2517.8
1,2/28/22,3a,3,3a45,45,24,orange-green,4,2956.27
1,2/28/22,3a,3,3a45,45,0,pink-purple,5,3029.99
1,2/28/22,3a,3,3a45,45,1,orange-,6,2138.17
1,2/28/22,3a,3,3a45,45,44,purple-red,7,2737.41
1,2/28/22,3a,3,3a45,45,0,purple-pink,8,2339.32
1,2/28/22,3a,3,3a45,45,0,pink-white,9,2513.01
1,2/28/22,3a,3,3a45,45,12,orange-pink,10,2246.1
1,2/28/22,3a,3,3a45,45,0,green-orange,11,2799.91
1,2/28/22,3a,3,3a45,45,0,red-yellow,12,2263.41
1,2/28/22,3a,3,3a45,45,4,pink-pink,13,2515.49
1,2/28/22,3a,3,3a45,45,0,blue-purple,14,2653.66
1,2/28/22,3a,3,3a45,45,31,red-orange,15,2105.09
1,2/28/22,3a,3,3a45,45,3,green-orange,16,2882.44
1,2/28/22,3a,3,3a45,45,0,purple-yellow,17,2677.1
1,2/28/22,3a,3,3a45,45,0,pink-,18,2713.96
1,2/28/22,3a,3,3a45,45,0,green-red,19,2509.14
1,2/28/22,3a,3,3a45,45,15,purple-purple,20,2706.61
1,2/28/22,3a,3,3a45,45,0,male,,
1,2/28/22,3a,3,3a45,45,0,male,,
1,2/28/22,3a,3,3a45,45,0,male,,
1,2/28/22,3a,3,3a45,45,0,male,,
1,2/28/22,3a,3,3a45,45,0,male,,
1,2/28/22,3a,3,3a45,45,1,male,,
1,2/28/22,3a,3,3a45,45,0,male,,
1,2/28/22,3a,3,3a45,45,0,male,,
1,2/28/22,3a,3,3a45,45,0,male,,
1,2/28/22,3a,3,3a45,45,0,male,,
1,3/1/22,3a,3,3a15,15,124,pink-white,1,2308.44
1,3/1/22,3a,3,3a15,15,0,pink-blue,2,2258.99
1,3/1/22,3a,3,3a15,15,0,pink-pink,3,2778.22
1,3/1/22,3a,3,3a15,15,0,green-blue,4,2428.67
1,3/1/22,3a,3,3a15,15,42,blue-yellow,5,2069.29
1,3/1/22,3a,3,3a15,15,0,blue-orange,6,2710
1,3/1/22,3a,3,3a15,15,31,green-green,7,2289.18
1,3/1/22,3a,3,3a15,15,21,green-pink,8,2459.07
1,3/1/22,3a,3,3a15,15,0,male,,
1,3/1/22,6a,6,6a45,45,10,orange-green,1,2722.76
