Colony ,Biobest,Size,Inoculated,Paired,Crithidia_mean (including 0s),Crithidia_mean (no 0s),MarginalCell_mean,Nest_Weight,Per_Capita_Weight,Log_Nest_Weight,Honey_Pots,Per_Capita_Honeypots,Egg_Cells,Per_Capita_Pupae,Males,Per_Capita_Males,Log_Males,EggMale,Per_Capita_EggMale,Log_EggMale
3b,3,15,Yes,3b15,36.91666667,44.3,2647.159167,15.5,1.033333333,1.190331698,6,0.4,32,2.133333333,2,0.133333333,0.477121255,34,2.266666667,1.531478917
3b,3,45,Yes,3b45,30.24324324,34.96875,2454.864595,36.4,0.808888889,1.561101384,38,0.844444444,53,1.177777778,15,0.333333333,1.204119983,68,1.511111111,1.832508913
6b,6,15,Yes,6b15,39.15384615,169.6666667,2637.52875,12.2,0.813333333,1.086359831,13,0.866666667,19,1.266666667,8,0.533333333,0.954242509,27,1.8,1.431363764
6b,6,45,Yes,6b45,135.4285714,145.8461539,2666.004643,24.3,0.54,1.385606274,20,0.444444444,57,1.266666667,11,0.244444444,1.079181246,68,1.511111111,1.832508913
3bclean,3,15,No,3b15,,,,14.2,0.946666667,1.152288344,15,1,25,1.666666667,16,1.066666667,1.230448921,41,2.733333333,1.612783857
6bclean,6,15,No,6b15,,,,31.8,2.12,1.50242712,26,1.733333333,46,3.066666667,31,2.066666667,1.505149978,77,5.133333333,1.886490725
6bclean,6,45,No,6b45,,,,36.1,0.802222222,1.557507202,49,1.088888889,75,1.666666667,33,0.733333333,1.531478917,108,2.4,2.033423755
3bclean,3,45,No,3b45,,,,62.2,1.382222222,1.793790385,75,1.666666667,53,1.177777778,44,0.977777778,1.653212514,97,2.155555556,1.986771734
7a,7,15,Yes,7a15,124.2307692,146.8181818,2747.692308,12.5,0.833333333,1.096910013,5,0.333333333,32,2.133333333,0,0,0,32,2.133333333,1.505149978
7a,7,15,No,7a15,,,,11.1,0.74,1.045322979,8,0.533333333,22,1.466666667,0,0,0,22,1.466666667,1.342422681
